# z sigR/R sigDA/DA sigH/H dN_QSO/dz/ddeg^2  
1.96 1.78 3.35 3.42 82.00
2.12 1.27 2.43 2.48 69.00
2.28 1.37 2.72 2.63 53.00
2.43 1.49 3.07 2.82 43.00
2.59 1.67 3.57 3.08 37.00
2.75 1.91 4.24 3.44 31.00
2.91 2.25 5.26 3.96 26.00
3.07 2.69 6.60 4.62 21.00
3.23 3.43 8.86 5.70 16.00
3.39 4.81 13.05 7.72 13.00
3.55 7.14 19.85 11.09 9.00
