# z sigR/R sigDA/DA sigH/H nbar_P(0.2,0) nbar_P(0.14,0.6) V(h^-1Gpc^3) dN_BGS/dz/ddeg^2  sig_fsig0.1/fsig0.1 sig_fsig0.2/fsig0.2
0.05 4.33 6.12 12.10 146.60 352.91 0.04 1165.00 33.24 14.08
0.15 1.66 2.35 4.66 59.47 144.69 0.23 3074.00 12.47 5.25
0.25 1.07 1.51 2.97 14.84 36.43 0.58 1909.00 7.69 3.25
0.35 0.91 1.32 2.44 3.21 7.94 1.04 732.00 5.83 2.60
0.45 1.56 2.39 3.69 0.35 0.87 1.55 120.00 6.35 3.77
